,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY,ISO3,Physical exposure to earthquake MMI VI,Physical exposure to earthquake MMI VIII,Annual Expected Exposed People to Floods,Annual Expected Exposed People to Tsunamis,Annual Expected Exposed People to Cyclone's Wind SS1,Annual Expected Exposed People to Cyclone's Wind SS3,Annual Expected Exposed People to Cyclone Surge,Total affected by Drought,Frequency of Drought events,Agriculture Drought probability,GCRI Violent Conflict probability,GCRI Highly Violent Conflict probability,National Power Conflict Intensity (Highly Violent),Subnational Conflict Intensity (Highly Violent),Human Development Index,Multidimensional Poverty Index,Humanitarian Aid (FTS),Development Aid (ODA),Development Aid (ODA),Net ODA received (% of GNI),"Mortality rate, under-5",U5 Under weight,Physicians Density,One-year-olds fully immunized against measles,Incidence of Tuberculosis,Estimated number of people living with HIV - Adult (>15) rate,Health expenditure per capita,Maternal Mortality Rate,Malaria death rate,Gender Inequality Index,Income Gini coefficient,People affected by Natural Disasters,People affected by Natural Disasters,People affected by Natural Disasters,Internally displaced persons (IDPs),Refugees by country of asylum,Returned Refugees,Average Dietary Energy Supply Adequacy,Prevalence of Undernourishment,Domestic Food Price Level Index,Domestic Food Price Volatility Index,HFA Scores Last recent,Government Effectiveness,Corruption Perception Index,Access to electricity,Adult liteacy rate,Internet users,Mobile cellular subscriptions,Road lenght,Improved sanitation facilities (% of population with access),Improved water source (% of population with access),GDP per capita PPP int USD (Estimated),Total Population,Total Population (GHS-POP),Land area (sq. km),
Serbia,SRB,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2014,2016,2013,2014,2014,2015,2014,2010,2014,2014,2013,2014,2015,x,2014,2010,2014,2015,2016,x,2015,2015,2014,2014,x,2012,2015,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Seychelles,SYC,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2012,2012,2014,2014,x,2014,2015,x,x,2006,2014,2015,2016,x,x,2015,2014,2014,2013,2013,2015,2014,2015,2012,2010,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Sierra Leone,SLE,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2013,2016,2013,2014,2014,2015,2013,2010,2014,2014,2014,2014,2015,2012,2014,2011,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2009,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Singapore,SGP,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2013,2014,2014,x,2014,2015,x,2014,x,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2007,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Slovakia,SVK,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2012,2014,2014,2014,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Slovenia,SVN,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2011,2014,2014,2014,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Solomon Islands,SLB,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2007,2010,2014,2014,x,2014,2015,2012,x,2005,2014,2015,2016,x,2015,2015,2014,2014,x,x,2009,2014,x,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Somalia,SOM,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,x,2006,2016,2013,2014,2014,2015,2009,2010,2014,2014,2014,x,2015,2012,2012,x,2014,2015,2016,2015,2015,2015,2014,2014,x,x,x,2014,2015,2012,x,2014,2014,2014,2011,2011,2014,2015,2014,2014,
South Africa,ZAF,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2008,2013,2014,2014,2014,2014,2015,2012,2014,2011,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2012,2014,2014,2014,2015,2015,2015,2015,2014,2014,
South Sudan,SSD,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2010,2016,2013,2014,2014,2015,2010,x,2014,2014,2014,2014,2015,2012,x,x,2014,2015,2016,2015,2016,2015,2014,2014,x,x,x,2014,2015,2012,2008,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Spain,ESP,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2013,2014,2014,2013,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Sri Lanka,LKA,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2012,2010,2014,2014,2014,2014,2015,2012,2014,2012,2014,2015,2016,2015,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2010,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Sudan,SDN,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2010,2016,2013,2014,2014,2015,2014,2010,2014,2014,2014,2014,2015,2012,2014,2009,2014,2015,2016,2015,2016,2015,2014,2014,x,x,2011,2014,2015,2012,2013,2014,2014,2014,2014,2014,2015,2015,2014,2014,
Suriname,SUR,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2010,2016,2013,2014,2014,2015,2010,2012,2014,2014,2014,2014,2015,2012,2014,x,2014,2015,2016,x,2015,2015,2014,2014,2013,2013,x,2014,2015,2012,2010,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Swaziland,SWZ,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2010,2016,2013,2014,2014,2015,2010,2009,2014,2014,2014,2014,2015,2012,2014,2009,2014,2015,2016,x,2015,2015,2014,2014,x,x,2015,2014,2015,2012,2010,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Sweden,SWE,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2011,2014,2014,2014,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Switzerland,CHE,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2012,2014,2014,2013,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Syria,SYR,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2009,2016,2013,2014,x,2015,2009,2010,2014,2014,2014,2014,2015,x,2014,2004,2014,2015,2016,2015,2015,2015,2014,2014,x,x,2009,2014,2015,2012,2013,2014,2014,2014,2015,2015,x,2015,2014,2014,
Tajikistan,TJK,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2012,2013,2014,2014,2014,2014,2015,2012,2014,2009,2014,2015,2016,x,2015,2015,2014,2014,x,x,2009,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Tanzania,TZA,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2010,2016,2013,2014,2014,2015,2011,2012,2014,2014,2014,2014,2015,2012,2014,2012,2014,2015,2016,x,2016,2015,2014,2014,2013,2014,2015,2014,2015,2012,2012,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Thailand,THA,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2006,2016,2013,2014,2014,2015,2012,2010,2014,2014,2014,2014,2015,2012,2014,2012,2014,2015,2016,2015,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2010,2014,2014,2014,2015,2015,2015,2015,2014,2014,
The former Yugoslav Republic of Macedonia,MKD,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2011,2016,2013,2014,2014,2015,2011,2010,2014,2014,2013,2014,2015,x,2014,2008,2014,2015,2016,2015,2015,2015,2014,2014,2013,2013,2015,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Timor-Leste,TLS,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2010,2016,2013,2014,2014,2015,2009,2011,2014,2014,x,2014,2015,2012,x,2007,2014,2015,2016,2015,2015,2015,2014,2014,x,x,2009,2014,2015,2012,2010,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Togo,TGO,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2014,2016,2013,2014,2014,2015,2014,2010,2014,2014,2014,2014,2015,2012,2014,2011,2014,2015,2016,2015,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Tonga,TON,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2012,2010,2014,2014,x,2014,2015,x,2014,2009,2014,2015,2016,x,2015,2015,2014,2014,x,x,2011,2014,x,2012,2011,2014,2014,2014,2015,2015,2014,2015,2014,2014,
Trinidad and Tobago,TTO,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2006,2016,2013,2014,x,2015,x,2010,2014,2014,2013,2014,2015,x,2014,x,2014,2015,2016,x,2015,2015,2014,2014,2013,2013,2011,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Tunisia,TUN,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2012,2010,2014,2014,2014,2014,2015,x,2014,2010,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Turkey,TUR,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2013,2011,2014,2014,x,2014,2015,2012,2014,2012,2014,2015,2016,2015,2016,2015,2014,2014,2014,2014,2015,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Turkmenistan,TKM,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,x,2010,2014,2014,x,2014,2015,x,x,x,2014,2015,2016,x,2015,2015,2014,2014,x,x,x,2014,2015,2012,2013,2014,2014,2014,2006,2006,2015,2015,2014,2014,
Tuvalu,TUV,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,x,x,2016,2013,2014,2014,2015,2007,2010,2014,2014,x,2014,2015,x,x,x,2014,2015,2016,x,x,2015,2014,2014,x,x,x,2014,x,2012,x,2013,2014,2014,2013,2015,2014,2015,2014,2014,
Uganda,UGA,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2011,2016,2013,2014,2014,2015,2011,2010,2014,2014,2014,2014,2015,2012,2014,2012,2014,2015,2016,2015,2016,2015,2014,2014,2013,2014,x,2014,2015,2012,2012,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Ukraine,UKR,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,x,2013,2014,2014,2014,2014,2015,x,2014,2013,2014,2015,2016,2015,2015,2015,2014,2014,2013,2014,x,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
United Arab Emirates,ARE,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2010,2014,2014,x,2014,2015,x,2014,x,2014,2015,2016,x,2015,2015,2014,2014,x,x,2015,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
United Kingdom,GBR,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2013,2014,2014,2013,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
United States of America,USA,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,2012,2011,2014,2014,x,2014,2015,x,2014,2013,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,x,2014,2014,2013,2015,2015,2015,2015,2014,2014,
Uruguay,URY,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2011,2010,2014,2014,2014,2014,2015,x,2014,2013,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Uzbekistan,UZB,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2006,2016,2013,2014,2014,2015,2006,2013,2014,2014,2014,2014,2015,x,x,2003,2014,2015,2016,x,2015,2015,2014,2014,x,x,2007,2014,2015,2012,2013,2014,2014,2014,2015,2012,2015,2015,2014,2014,
Vanuatu,VUT,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2007,2016,2013,2014,2014,2015,2013,2010,2014,2014,x,2014,2015,2012,x,2010,2014,2015,2016,x,2015,2015,2014,2014,x,x,2011,2014,x,2012,2013,2014,2014,2014,2015,2015,2014,2015,2014,2014,
Venezuela,VEN,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,2009,x,2014,2014,2014,2014,2015,2012,2014,2006,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2011,2014,2014,2014,2015,2015,2013,2015,2014,2014,
Viet Nam,VNM,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2011,2016,2013,2014,2014,2015,2013,2013,2014,2014,2014,2014,2015,2012,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,x,x,2015,2014,2015,2012,2009,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Yemen,YEM,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2013,2016,2013,2014,x,2015,2013,2010,2014,2014,2014,2014,2015,2012,2014,2005,2014,2015,2016,2016,2016,2015,2014,2014,2013,2013,2015,2014,2015,2012,2013,2014,2014,2014,2012,2012,2013,2015,2014,2014,
Zambia,ZMB,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2014,2016,2013,2014,2014,2015,2013,2012,2014,2014,2014,2014,2015,2012,2014,2010,2014,2015,2016,x,2015,2015,2014,2014,2013,2013,2009,2014,2015,2012,2007,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Zimbabwe,ZWE,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2014,2016,2013,2014,2014,2015,2014,2011,2014,2014,2014,2014,2015,2012,2014,x,2014,2015,2016,2015,2015,2015,2014,2014,x,x,2015,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
